ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,,,
19,36.02498196,-78.861095,96.488884,2021-05-27T17:28:18Z,,,G0.3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-27T17:28:18Z,,,
20,36.00856902,-78.86971503,105.060089,2021-05-27T18:04:28Z,,,G16,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-27T18:04:28Z,,,
21,36.05236396,-78.82707001,85.958633,2021-05-27T19:34:19Z,,,JEFF1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-27T19:34:19Z,,,
22,36.016575,-78.89315201,105.955902,2021-05-27T21:16:20Z,,,SE00,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-27T21:16:20Z,,,
23,36.00905702,-78.90313301,105.646622,2021-05-27T21:54:09Z,,,SE1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-27T21:54:09Z,,,
24,36.033086,-78.94584099,122.282333,2021-05-28T12:52:09Z,,,STONEY1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-28T12:52:09Z,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhoneNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wptID,Category,value,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wptID,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,cmt,desc,src,number,type,DisplayColor,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trkseg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,trkID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trkpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,,,,
